139.0,200.0,201.0
140.0,202.0,203.0
141.0,200.0,201.0
142.0,202.0,203.0
143.0,200.0,201.0
144.0,202.0,203.0
145.0,200.0,201.0
146.0,202.0,203.0
147.0,200.0,201.0
148.0,202.0,203.0
149.0,200.0,201.0
150.0,202.0,203.0
151.0,200.0,201.0
152.0,202.0,203.0
153.0,204.0,205.0
154.0,206.0,207.0
155.0,204.0,205.0
156.0,206.0,207.0
157.0,204.0,205.0
158.0,206.0,207.0
159.0,204.0,205.0
160.0,206.0,207.0
161.0,204.0,205.0
162.0,206.0,207.0
163.0,204.0,205.0
164.0,206.0,207.0
165.0,204.0,205.0
166.0,206.0,207.0
