1,-1,-1,-1,-1
2,-1,-1,-1,-1
3,-1,-1,-1,-1
4,-1,-1,-1,-1
5,100,-1,-1,-1
6,127,101,-1,-1
7,-1,128,102,-1
8,-1,-1,129,103
9,-1,-1,-1,130
10,-1,-1,-1,-1
11,-1,-1,-1,-1
12,-1,-1,-1,-1
13,-1,-1,-1,-1
14,-1,-1,-1,-1
15,104,-1,-1,-1
16,131,105,-1,-1
17,-1,132,106,-1
18,-1,-1,133,107
19,-1,-1,-1,134
20,-1,-1,-1,-1
21,-1,-1,-1,-1
22,-1,-1,-1,-1
23,-1,-1,-1,-1
24,-1,-1,-1,-1
25,108,-1,-1,-1
26,135,109,-1,-1
27,-1,136,110,-1
28,-1,-1,137,111
29,-1,-1,-1,138
30,-1,-1,-1,-1
31,-1,-1,-1,-1
32,-1,-1,-1,-1
33,-1,-1,-1,-1
34,-1,-1,-1,-1
35,112,-1,-1,-1
36,139,113,-1,-1
37,-1,140,114,-1
38,-1,-1,141,115
39,-1,-1,-1,142
40,-1,-1,-1,-1
41,-1,-1,-1,-1
42,-1,-1,-1,-1
43,-1,-1,-1,-1
44,-1,-1,-1,-1
45,116,-1,-1,-1
46,143,117,-1,-1
47,-1,144,118,-1
48,-1,-1,145,119
49,-1,-1,-1,146
50,-1,-1,-1,-1
51,-1,-1,-1,-1
52,-1,-1,-1,-1
53,-1,-1,-1,-1
54,-1,-1,-1,-1
55,120,-1,-1,-1
56,147,121,-1,-1
57,-1,148,122,-1
58,-1,-1,149,123
59,-1,-1,-1,150
60,-1,-1,-1,-1
61,-1,-1,-1,-1
62,-1,-1,-1,-1
63,-1,-1,-1,-1
64,-1,-1,-1,-1
65,124,-1,-1,-1
66,151,125,-1,-1
67,-1,152,126,-1
68,-1,-1,153,-1
69,-1,-1,-1,-1
70,-1,-1,-1,-1
71,-1,-1,-1,-1
72,-1,-1,-1,-1
73,-1,-1,-1,-1
74,-1,-1,-1,-1
75,100,-1,-1,-1
76,127,101,-1,-1
77,-1,128,102,-1
78,-1,-1,129,103
79,-1,-1,-1,130
80,-1,-1,-1,-1
81,-1,-1,-1,-1
82,-1,-1,-1,-1
83,-1,-1,-1,-1
84,-1,-1,-1,-1
85,104,-1,-1,-1
86,131,105,-1,-1
87,-1,132,106,-1
88,-1,-1,133,107
89,-1,-1,-1,134
90,-1,-1,-1,-1
91,-1,-1,-1,-1
92,-1,-1,-1,-1
93,-1,-1,-1,-1
94,-1,-1,-1,-1
95,108,-1,-1,-1
96,135,109,-1,-1
97,-1,136,110,-1
98,-1,-1,137,111
99,-1,-1,-1,138
100,-1,-1,-1,-1
101,-1,-1,-1,-1
102,-1,-1,-1,-1
103,-1,-1,-1,-1
104,-1,-1,-1,-1
105,112,-1,-1,-1
106,139,113,-1,-1
107,-1,140,114,-1
108,-1,-1,141,115
109,-1,-1,-1,142
110,-1,-1,-1,-1
111,-1,-1,-1,-1
112,-1,-1,-1,-1
113,-1,-1,-1,-1
114,-1,-1,-1,-1
115,116,-1,-1,-1
116,143,117,-1,-1
117,-1,144,118,-1
118,-1,-1,145,119
119,-1,-1,-1,146
120,-1,-1,-1,-1
121,-1,-1,-1,-1
122,-1,-1,-1,-1
123,-1,-1,-1,-1
124,-1,-1,-1,-1
125,120,-1,-1,-1
126,147,121,-1,-1
127,-1,148,122,-1
128,-1,-1,149,123
129,-1,-1,-1,150
130,-1,-1,-1,-1
131,-1,-1,-1,-1
132,-1,-1,-1,-1
133,-1,-1,-1,-1
134,-1,-1,-1,-1
135,124,-1,-1,-1
136,151,125,-1,-1
137,-1,152,126,-1
138,-1,-1,153,-1
139,-1,-1,-1,-1
140,-1,-1,-1,-1
