1,1,-1,-1,-1
2,2,4,-1,-1
3,3,5,13,-1
4,4,6,14,16
5,5,7,15,17
6,6,8,16,18
7,7,9,17,19
8,8,10,18,20
9,9,11,19,21
10,13,12,20,22
11,14,16,21,23
12,15,17,25,24
13,16,18,26,28
14,17,19,27,29
15,18,20,28,30
16,19,21,29,31
17,20,22,30,32
18,21,23,31,33
19,25,24,32,34
20,26,28,33,35
21,27,29,37,36
22,28,30,38,40
23,29,31,39,41
24,30,32,40,42
25,31,33,41,43
26,32,34,42,44
27,33,35,43,45
28,-1,36,44,46
29,-1,-1,45,47
30,-1,-1,-1,48
31,-1,-1,-1,-1
